City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
146,Cabo San Lucas,MX,22.89,-109.91,60.01,78,3,1.01,clear sky,2021-01-05 06:16:41
147,Gondar,ET,12.6,37.47,66.22,28,3,4.12,clear sky,2021-01-05 06:16:31
148,Hamilton,US,39.18,-84.53,36.0,92,90,1.48,overcast clouds,2021-01-05 06:17:16
149,Ketchikan,US,55.34,-131.65,41.0,86,90,28.86,moderate rain,2021-01-05 06:17:16
150,Lasa,IT,46.62,10.7,30.0,85,5,1.14,clear sky,2021-01-05 06:17:17
151,Camacha,PT,33.08,-16.33,64.4,88,40,18.34,light rain,2021-01-05 06:17:17
152,Batala,IN,31.82,75.2,60.8,93,75,2.24,light rain,2021-01-05 06:17:17
153,Listvyagi,RU,53.68,86.95,-12.98,88,43,5.03,scattered clouds,2021-01-05 06:17:17
154,Hobyo,SO,5.35,48.53,78.58,63,100,23.67,overcast clouds,2021-01-05 06:17:18
155,Christchurch,NZ,-43.53,172.63,63.0,87,100,13.87,overcast clouds,2021-01-05 06:17:18
156,Adrar,MR,20.5,-10.07,62.91,40,56,7.85,broken clouds,2021-01-05 06:17:18
157,Mount Gambier,AU,-37.83,140.77,62.6,63,90,19.46,overcast clouds,2021-01-05 06:17:18
158,Port Augusta,AU,-32.5,137.77,77.0,53,0,27.51,clear sky,2021-01-05 06:17:18
159,East London,ZA,-33.02,27.91,78.8,74,20,17.22,few clouds,2021-01-05 06:17:19
160,Seoul,KR,37.57,126.98,26.6,25,20,8.05,few clouds,2021-01-05 06:15:12
161,Lebu,CL,-37.62,-73.65,54.1,86,0,18.37,clear sky,2021-01-05 06:17:19
162,Nouadhibou,MR,20.93,-17.03,66.2,52,0,8.05,clear sky,2021-01-05 06:17:19
163,Hirara,JP,24.8,125.28,68.0,88,75,18.34,broken clouds,2021-01-05 06:17:20
164,Makakilo City,US,21.35,-158.09,75.2,64,1,5.82,clear sky,2021-01-05 06:17:15
165,Lynn Haven,US,30.25,-85.65,48.2,93,1,2.44,clear sky,2021-01-05 06:17:20
166,Oriximina,BR,-1.77,-55.87,75.43,83,82,2.91,broken clouds,2021-01-05 06:17:20
167,Hammerfest,NO,70.66,23.68,39.2,86,75,16.11,light rain,2021-01-05 06:17:20
168,Provideniya,RU,64.38,-173.3,-0.11,84,0,15.93,clear sky,2021-01-05 06:17:21
169,Arraial Do Cabo,BR,-22.97,-42.03,73.78,93,50,4.05,scattered clouds,2021-01-05 06:17:21
170,Gat,IL,31.61,34.76,55.4,100,90,3.36,fog,2021-01-05 06:14:04
171,Krasnoselkup,RU,65.7,82.47,-20.96,86,24,10.92,few clouds,2021-01-05 06:17:21
172,Padang,ID,-0.95,100.35,89.6,62,20,10.29,light rain,2021-01-05 06:17:22
173,Nyimba,ZM,-14.56,30.81,73.78,86,52,4.85,light rain,2021-01-05 06:17:22
174,Lata,PT,40.16,-8.33,37.99,91,0,3.29,clear sky,2021-01-05 06:17:22
175,Noshiro,JP,40.2,140.02,26.6,73,75,3.36,light snow,2021-01-05 06:17:22
176,Constitucion,CL,-35.33,-72.42,56.03,69,21,5.28,few clouds,2021-01-05 06:17:23
177,Eyl,SO,7.98,49.82,77.63,53,78,22.08,broken clouds,2021-01-05 06:17:23
178,Grindavik,IS,63.84,-22.43,33.8,71,75,4.7,broken clouds,2021-01-05 06:17:23
179,Akdagmadeni,TR,39.66,35.88,37.17,77,85,5.32,overcast clouds,2021-01-05 06:17:23
180,Banda Aceh,ID,5.56,95.32,83.5,70,83,12.28,broken clouds,2021-01-05 06:17:23
181,The Valley,AI,18.22,-63.06,75.99,83,40,5.82,scattered clouds,2021-01-05 06:17:24
182,Miles City,US,46.41,-105.84,33.8,47,1,8.05,clear sky,2021-01-05 06:17:24
183,Peniche,PT,39.36,-9.38,39.99,77,13,4.0,few clouds,2021-01-05 06:17:24
184,Ystad,SE,55.43,13.82,32.0,84,20,11.41,few clouds,2021-01-05 06:17:24
185,Laguna,US,38.42,-121.42,48.0,87,1,5.82,clear sky,2021-01-05 06:16:12
186,Pyapon,MM,16.28,95.68,90.93,35,0,7.43,clear sky,2021-01-05 06:17:25
187,Aykhal,RU,66.0,111.5,-9.4,83,90,4.47,light snow,2021-01-05 06:17:25
188,Vardo,NO,70.37,31.11,26.6,86,0,16.11,clear sky,2021-01-05 06:17:25
189,Sioux Lookout,CA,50.1,-91.92,28.4,86,90,8.05,overcast clouds,2021-01-05 06:17:25
190,Madang,PG,-5.22,145.8,85.91,67,94,7.65,overcast clouds,2021-01-05 06:17:26
191,Marrakesh,MA,31.63,-8.01,50.0,87,75,3.36,broken clouds,2021-01-05 06:17:26
192,Saskylakh,RU,71.92,114.08,-1.16,90,98,15.39,overcast clouds,2021-01-05 06:17:26
193,Sitka,US,57.05,-135.33,39.2,69,90,18.34,moderate rain,2021-01-05 06:17:27
194,Rawson,AR,-43.3,-65.1,56.64,65,0,3.94,clear sky,2021-01-05 06:17:27
195,Medea,DZ,36.26,2.75,44.6,70,20,6.93,few clouds,2021-01-05 06:17:27
196,Dongsheng,CN,39.82,109.98,9.03,63,0,23.17,clear sky,2021-01-05 06:17:27
197,Portland,US,45.52,-122.68,45.0,89,65,4.0,broken clouds,2021-01-05 06:17:19
198,Gostinu,RO,44.0,26.12,48.99,94,100,7.65,light rain,2021-01-05 06:17:28
199,Grenville,GD,12.12,-61.62,77.0,83,40,2.24,scattered clouds,2021-01-05 06:17:28
200,Srostki,RU,52.42,85.7,-8.57,89,0,6.13,clear sky,2021-01-05 06:17:28
201,Obra,IN,24.42,82.98,81.25,33,92,3.96,overcast clouds,2021-01-05 06:17:29
202,Talnakh,RU,69.49,88.4,-9.4,76,90,20.13,light snow,2021-01-05 06:17:29
203,Sitionuevo,CO,10.78,-74.72,78.8,74,0,8.05,clear sky,2021-01-05 06:17:29
204,Port Pirie,AU,-33.18,138.02,71.6,53,0,27.51,clear sky,2021-01-05 06:17:29
205,Sheregesh,RU,52.92,87.99,-3.98,88,45,3.47,scattered clouds,2021-01-05 06:17:30
206,Tecoanapa,MX,16.52,-98.75,75.92,87,20,4.29,few clouds,2021-01-05 06:17:30
