City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Vazhiny,RU,2021-01-02 00:51:02,60.96,34.02,32.9,96,100,6.91
165,Necochea,AR,2021-01-02 00:51:02,-38.55,-58.74,66.0,61,0,11.7
166,Port Hedland,AU,2021-01-02 00:51:03,-20.32,118.57,89.6,59,75,10.29
167,Olafsvik,IS,2021-01-02 00:51:03,64.89,-23.71,39.69,92,100,23.51
168,Pocone,BR,2021-01-02 00:51:03,-16.26,-56.62,80.2,62,1,4.16
169,Chiredzi,ZW,2021-01-02 00:51:04,-21.05,31.67,73.11,88,100,11.1
170,Griffith,US,2021-01-02 00:51:04,41.53,-87.42,34.0,98,90,3.36
171,Grindavik,IS,2021-01-02 00:51:04,63.84,-22.43,35.6,100,75,14.99
172,Beloha,MG,2021-01-02 00:51:04,-25.17,45.05,70.56,78,0,4.56
173,Tazovskiy,RU,2021-01-02 00:51:05,67.47,78.7,-26.12,86,68,6.26
174,Klaksvik,FO,2021-01-02 00:51:05,62.23,-6.59,32.0,85,100,8.05
175,Castro,BR,2021-01-02 00:50:33,-24.79,-50.01,62.35,97,61,8.16
176,Kostomuksha,RU,2021-01-02 00:51:05,64.57,30.58,26.74,99,98,4.23
177,Nemuro,JP,2021-01-02 00:51:06,43.32,145.57,8.6,60,40,6.93
178,Finschhafen,PG,2021-01-02 00:51:06,-6.6,147.87,85.62,67,100,2.77
179,Fairbanks,US,2021-01-02 00:49:09,64.84,-147.72,3.99,76,75,3.94
180,Zanesville,US,2021-01-02 00:49:53,39.94,-82.01,45.0,93,40,4.7
181,Waipawa,NZ,2021-01-02 00:51:07,-41.41,175.52,71.6,73,94,18.34
182,Hasaki,JP,2021-01-02 00:51:07,35.73,140.83,39.0,51,20,2.24
183,Terre-De-Bas,GP,2021-01-02 00:51:07,15.85,-61.64,77.0,65,0,9.17
184,Betioky,MG,2021-01-02 00:51:08,-23.72,44.38,71.94,80,0,3.96
185,Billings,US,2021-01-02 00:50:43,45.78,-108.5,39.2,32,40,14.99
186,Hithadhoo,MV,2021-01-02 00:51:08,-0.6,73.08,81.84,73,1,7.0
187,Gat,IL,2021-01-02 00:48:02,31.61,34.76,57.0,100,100,1.99
188,Yulara,AU,2021-01-02 00:51:09,-25.24,130.99,93.2,13,0,14.99
189,Newport,GB,2021-01-02 00:48:04,51.59,-3.0,39.99,91,16,1.01
190,Carutapera,BR,2021-01-02 00:51:11,-1.2,-46.02,78.91,84,100,6.51
191,Riyadh,SA,2021-01-02 00:51:11,24.69,46.72,53.6,81,0,2.24
192,Geraldton,AU,2021-01-02 00:51:12,-28.77,114.6,78.8,54,0,10.29
193,Khatanga,RU,2021-01-02 00:51:12,71.97,102.5,-8.46,90,100,14.14
194,Gladstone,AU,2021-01-02 00:51:12,-23.85,151.25,80.6,61,100,12.75
195,Diffa,NE,2021-01-02 00:51:13,13.32,12.61,70.36,20,0,8.66
196,Kieta,PG,2021-01-02 00:51:13,-6.22,155.63,85.82,60,43,2.91
197,Sandwick,GB,2021-01-02 00:51:13,60.0,-1.25,35.6,74,88,6.93
198,Navrongo,GH,2021-01-02 00:51:14,10.9,-1.09,77.02,19,0,7.43
199,Kenai,US,2021-01-02 00:51:14,60.55,-151.26,15.01,85,1,6.93
200,Mahebourg,MU,2021-01-02 00:51:14,-20.41,57.7,77.0,73,75,12.75
201,Keokuk,US,2021-01-02 00:51:14,40.4,-91.38,30.2,100,90,9.17
202,Botelhos,BR,2021-01-02 00:51:14,-21.63,-46.4,64.69,90,100,1.48
203,San Cristobal,VE,2021-01-02 00:51:15,7.77,-72.22,65.46,92,86,0.51
204,Mogadishu,SO,2021-01-02 00:51:15,2.04,45.34,76.46,83,49,14.43
205,Charagua,BO,2021-01-02 00:51:15,-19.8,-63.22,74.26,71,99,4.41
206,Takaka,NZ,2021-01-02 00:51:15,-40.85,172.8,69.21,61,100,8.95
207,Mubi,NG,2021-01-02 00:51:15,10.27,13.26,70.74,31,100,2.17
208,Saldanha,ZA,2021-01-02 00:51:16,-33.01,17.94,57.2,67,0,8.05
209,Vinogradnyy,RU,2021-01-02 00:51:16,45.05,37.32,51.01,81,89,6.71
210,Yumen,CN,2021-01-02 00:51:16,40.28,97.2,12.85,79,100,11.12
211,Rawson,AR,2021-01-02 00:51:16,-43.3,-65.1,75.34,30,0,15.97
212,Santa Cruz,BO,2021-01-02 00:50:38,-17.8,-63.17,77.0,83,63,3.36
213,Clyde River,CA,2021-01-02 00:51:17,70.47,-68.59,-18.4,68,1,4.7
214,Lima,PE,2021-01-02 00:46:38,-12.04,-77.03,70.0,83,75,14.99
215,Salalah,OM,2021-01-02 00:51:17,17.02,54.09,73.4,73,40,1.12
216,Thunder Bay,CA,2021-01-02 00:51:17,48.4,-89.32,24.8,92,90,2.24
